search_text,table_name,column_name,data_type,dicom_tag,category,description,constraints,contains_phi,relationships
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_key (INTEGER) - Surrogate key. DICOM tag (0010,xxxx). Constraints: AUTOINCREMENT PRIMARY KEY.",dicom_patient,patient_key,INTEGER,"(0010,xxxx)",Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,Patient → Study → Series → Instance
Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column source_system (VARCHAR) - Originating system.,dicom_patient,source_system,VARCHAR,,Core Hierarchy,Originating system,,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_id (VARCHAR) - DICOM Patient ID. DICOM tag (0010,0020). Contains PHI - requires masking. Constraints: NOT NULL.",dicom_patient,patient_id,VARCHAR,"(0010,0020)",Core Hierarchy,DICOM Patient ID,NOT NULL,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column issuer_of_patient_id (VARCHAR) - Issuer of Patient ID. DICOM tag (0010,0021). Contains PHI - requires masking.",dicom_patient,issuer_of_patient_id,VARCHAR,"(0010,0021)",Core Hierarchy,Issuer of Patient ID,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_name (VARCHAR) - Patient name. DICOM tag (0010,0010). Contains PHI - requires masking.",dicom_patient,patient_name,VARCHAR,"(0010,0010)",Core Hierarchy,Patient name,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_sex (VARCHAR(16)) - M, F, or O. DICOM tag (0010,0040).",dicom_patient,patient_sex,VARCHAR(16),"(0010,0040)",Core Hierarchy,"M, F, or O",,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_birth_date (DATE) - Birth date. DICOM tag (0010,0030). Contains PHI - requires masking.",dicom_patient,patient_birth_date,DATE,"(0010,0030)",Core Hierarchy,Birth date,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_age (VARCHAR(16)) - Age at time of study. DICOM tag (0010,1010).",dicom_patient,patient_age,VARCHAR(16),"(0010,1010)",Core Hierarchy,Age at time of study,,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column other_patient_ids (ARRAY) - Alternative patient IDs. DICOM tag (0010,1000). Contains PHI - requires masking.",dicom_patient,other_patient_ids,ARRAY,"(0010,1000)",Core Hierarchy,Alternative patient IDs,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column other_patient_names (ARRAY) - Alternative names. DICOM tag (0010,1001). Contains PHI - requires masking.",dicom_patient,other_patient_names,ARRAY,"(0010,1001)",Core Hierarchy,Alternative names,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column comments (VARCHAR) - Patient comments. DICOM tag (0010,4000).",dicom_patient,comments,VARCHAR,"(0010,4000)",Core Hierarchy,Patient comments,,N,Patient → Study → Series → Instance
Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_patient,_loaded_at,TIMESTAMP_NTZ,,Core Hierarchy,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,Patient → Study → Series → Instance
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_study,study_key,INTEGER,,Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: patient_key → dicom_patient
