table_name,column_name,data_type,constraints,description,fhir_resource,fhir_field,category,contains_phi,relationships,enum_values,search_text
NOTE_DOCUMENT,document_id,VARCHAR,PK NOT NULL,Unique identifier for each clinical note processed by GenAI-powered clinical NLP,DocumentReference,id,CONTEXT,N,,,"NOTE_DOCUMENT document_id PK unique identifier clinical note processed GenAI NLP"
NOTE_DOCUMENT,patient_id,VARCHAR,NOT NULL,Patient identifier linking the note to a patient,DocumentReference,subject,CONTEXT,Y,,,"NOTE_DOCUMENT patient_id patient identifier linking note PHI"
NOTE_DOCUMENT,encounter_id,VARCHAR,NULLABLE,Encounter identifier linking the note to a clinical encounter,DocumentReference,context.encounter,CONTEXT,N,,,"NOTE_DOCUMENT encounter_id encounter identifier clinical encounter nullable"
NOTE_DOCUMENT,note_type,VARCHAR,NOT NULL,Type of clinical note,DocumentReference,type,CONTEXT,N,,"H_AND_P|PROGRESS|DISCHARGE_SUMMARY|RADIOLOGY_REPORT|PATHOLOGY_REPORT|NURSING_NOTE|ED_NOTE|CONSULT_NOTE","NOTE_DOCUMENT note_type type of clinical note H_AND_P PROGRESS DISCHARGE_SUMMARY RADIOLOGY_REPORT PATHOLOGY_REPORT NURSING_NOTE ED_NOTE CONSULT_NOTE"
NOTE_DOCUMENT,source_system,VARCHAR,NOT NULL,EHR or system that produced the note,DocumentReference,custodian,CONTEXT,N,,"Epic|Cerner|HIE_X","NOTE_DOCUMENT source_system EHR system produced note Epic Cerner HIE"
NOTE_DOCUMENT,author,VARCHAR,NULLABLE,Author of the note - free text or provider ID,DocumentReference,author,CONTEXT,Y,,,"NOTE_DOCUMENT author note author provider free text PHI"
NOTE_DOCUMENT,created_datetime,TIMESTAMP_NTZ,NOT NULL,Note creation or signed datetime,DocumentReference,date,CONTEXT,N,,,"NOTE_DOCUMENT created_datetime note creation signed datetime timestamp"
NOTE_DOCUMENT,raw_text,TEXT,NOT NULL,Full clinical note body text,DocumentReference,content,CONTEXT,Y,,,"NOTE_DOCUMENT raw_text full clinical note body text unstructured PHI"
NOTE_SECTION,section_id,VARCHAR,PK NOT NULL,Unique identifier for a logical section within a note,DocumentReference,content.section,CONTEXT,N,,,"NOTE_SECTION section_id PK unique identifier logical section within note"
NOTE_SECTION,document_id,VARCHAR,FK NOT NULL,Foreign key to NOTE_DOCUMENT,DocumentReference,content.section,CONTEXT,N,FK->NOTE_DOCUMENT.document_id,,"NOTE_SECTION document_id FK to NOTE_DOCUMENT foreign key"
NOTE_SECTION,section_name,VARCHAR,NOT NULL,Standard name of the note section,DocumentReference,content.section.title,CONTEXT,N,,"CHIEF_COMPLAINT|HPI|PMH|PSH|MEDICATIONS|ALLERGIES|SOCIAL_HISTORY|FAMILY_HISTORY|ROS|PHYSICAL_EXAM|LABS|IMAGING|ASSESSMENT|PLAN|IMPRESSION","NOTE_SECTION section_name standard name note section CHIEF_COMPLAINT HPI PMH PSH MEDICATIONS ALLERGIES SOCIAL_HISTORY FAMILY_HISTORY ROS PHYSICAL_EXAM LABS IMAGING ASSESSMENT PLAN IMPRESSION"
NOTE_SECTION,start_offset,INT,NOT NULL,Character index start position in raw_text,DocumentReference,content.section.offset,CONTEXT,N,,,"NOTE_SECTION start_offset character index start position in raw_text INT"
NOTE_SECTION,end_offset,INT,NOT NULL,Character index end position in raw_text,DocumentReference,content.section.offset,CONTEXT,N,,,"NOTE_SECTION end_offset character index end position in raw_text INT"
CONDITION,condition_id,VARCHAR,PK NOT NULL,Unique identifier for a diagnosis or problem,Condition,id,CLINICAL,N,,,"CONDITION condition_id PK unique identifier diagnosis problem"
CONDITION,patient_id,VARCHAR,NOT NULL,Patient identifier,Condition,subject,CLINICAL,Y,,,"CONDITION patient_id patient identifier PHI"
CONDITION,encounter_id,VARCHAR,NULLABLE,Encounter identifier,Condition,encounter,CLINICAL,N,,,"CONDITION encounter_id encounter identifier nullable"
CONDITION,code,VARCHAR,NULLABLE,Terminology code for the condition (ICD-10 or SNOMED),Condition,code.coding.code,CLINICAL,N,,,"CONDITION code terminology code ICD-10 SNOMED diagnosis"
CONDITION,code_system,VARCHAR,NULLABLE,Code system used for the condition code,Condition,code.coding.system,CLINICAL,N,,"ICD10CM|SNOMED_CT","CONDITION code_system ICD10CM SNOMED_CT code system terminology"
CONDITION,display,VARCHAR,NOT NULL,Human-readable label for the condition,Condition,code.coding.display,CLINICAL,N,,,"CONDITION display human-readable label condition diagnosis"
CONDITION,clinical_status,VARCHAR,NULLABLE,Current clinical status of the condition,Condition,clinicalStatus,CLINICAL,N,,"active|recurrence|resolved|inactive|unknown","CONDITION clinical_status active recurrence resolved inactive unknown"
CONDITION,verification_status,VARCHAR,NULLABLE,Verification level of the condition,Condition,verificationStatus,CLINICAL,N,,"provisional|differential|confirmed|refuted|entered_in_error","CONDITION verification_status provisional differential confirmed refuted entered_in_error"
CONDITION,category,VARCHAR,NULLABLE,Category classification of the condition,Condition,category,CLINICAL,N,,"PROBLEM_LIST_ITEM|ENCOUNTER_DIAGNOSIS|SYMPTOM|RISK_FACTOR|HISTORY_OF","CONDITION category PROBLEM_LIST_ITEM ENCOUNTER_DIAGNOSIS SYMPTOM RISK_FACTOR HISTORY_OF"
CONDITION,onset_datetime,TIMESTAMP_NTZ,NULLABLE,When the condition started,Condition,onsetDateTime,CLINICAL,N,,,"CONDITION onset_datetime when condition started onset nullable"
CONDITION,abatement_datetime,TIMESTAMP_NTZ,NULLABLE,When the condition resolved or went into remission,Condition,abatementDateTime,CLINICAL,N,,,"CONDITION abatement_datetime when condition resolved remission nullable"
CONDITION,severity_code,VARCHAR,NULLABLE,Severity code for the condition,Condition,severity.coding.code,CLINICAL,N,,,"CONDITION severity_code severity code nullable"
CONDITION,severity_display,VARCHAR,NULLABLE,Human-readable severity label,Condition,severity.coding.display,CLINICAL,N,,"mild|moderate|severe","CONDITION severity_display mild moderate severe severity human-readable"
CONDITION,body_site_code,VARCHAR,NULLABLE,Anatomical site code where the condition manifests,Condition,bodySite.coding.code,CLINICAL,N,,,"CONDITION body_site_code anatomical site code body site nullable"
CONDITION,body_site_display,VARCHAR,NULLABLE,Anatomical site display name,Condition,bodySite.coding.display,CLINICAL,N,,,"CONDITION body_site_display anatomical site display name nullable"
